mal_id,url,name,name_kanji,nicknames,favorites,about,image_jpg_url,image_webp_url,image_webp_small_url
132072,https://myanimelist.net/character/132072/Alzas,Alzas,アルザス,,0,,https://cdn.myanimelist.net/images/characters/5/288325.jpg,https://cdn.myanimelist.net/images/characters/5/288325.webp,https://cdn.myanimelist.net/images/characters/5/288325t.webp
132073,https://myanimelist.net/character/132073/Darles,Darles,ダーレス,,0,,https://cdn.myanimelist.net/images/characters/2/288326.jpg,https://cdn.myanimelist.net/images/characters/2/288326.webp,https://cdn.myanimelist.net/images/characters/2/288326t.webp
132074,https://myanimelist.net/character/132074/Jess,Jess,ジェス,,0,,https://cdn.myanimelist.net/images/characters/16/288327.jpg,https://cdn.myanimelist.net/images/characters/16/288327.webp,https://cdn.myanimelist.net/images/characters/16/288327t.webp
132075,https://myanimelist.net/character/132075/Jill_Il,Jill Il,ジル・イル,,0,,https://cdn.myanimelist.net/images/characters/11/288328.jpg,https://cdn.myanimelist.net/images/characters/11/288328.webp,https://cdn.myanimelist.net/images/characters/11/288328t.webp
132076,https://myanimelist.net/character/132076/July,July,ジュリ,,0,,https://cdn.myanimelist.net/images/characters/7/288329.jpg,https://cdn.myanimelist.net/images/characters/7/288329.webp,https://cdn.myanimelist.net/images/characters/7/288329t.webp
132077,https://myanimelist.net/character/132077/Mulligan,Mulligan,マリガン,,0,,https://cdn.myanimelist.net/images/characters/14/288330.jpg,https://cdn.myanimelist.net/images/characters/14/288330.webp,https://cdn.myanimelist.net/images/characters/14/288330t.webp
132078,https://myanimelist.net/character/132078/Milina_Concense,Milina Concense,メリーナ,,1,,https://cdn.myanimelist.net/images/characters/14/288331.jpg,https://cdn.myanimelist.net/images/characters/14/288331.webp,https://cdn.myanimelist.net/images/characters/14/288331t.webp
219512,https://myanimelist.net/character/219512/Karen_Heyer,Karen Heyer,,The Resetting Lady,7,,https://cdn.myanimelist.net/images/characters/6/491889.jpg,https://cdn.myanimelist.net/images/characters/6/491889.webp,https://cdn.myanimelist.net/images/characters/6/491889t.webp
219513,https://myanimelist.net/character/219513/Ryosuke_Tanaka,Ryosuke Tanaka,,,0,,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
219514,https://myanimelist.net/character/219514/Ootsuki_Yuzuru,Ootsuki Yuzuru,,Sasaki Yuzuru,0,,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
219515,https://myanimelist.net/character/219515/Tomonori_Tada,Tomonori Tada,多田 智也,,0,"Tomonori Tada is a forward on Ichinan High School's football team.  Tada is a young man with brown, spiky hair.  He has been seen wearing the Ichinan High School football uniform.  Tada is shown to be a kind-hearted individual who is a firm believer in team play, much like his coach.",https://cdn.myanimelist.net/images/characters/2/501593.jpg,https://cdn.myanimelist.net/images/characters/2/501593.webp,https://cdn.myanimelist.net/images/characters/2/501593t.webp
219516,https://myanimelist.net/character/219516/Rena_Kashiwagi,Rena Kashiwagi,柏木 玲菜,,1,,https://cdn.myanimelist.net/images/characters/13/492060.jpg,https://cdn.myanimelist.net/images/characters/13/492060.webp,https://cdn.myanimelist.net/images/characters/13/492060t.webp
219517,https://myanimelist.net/character/219517/Arisa_Kazuki,Arisa Kazuki,香月 亜里砂,,12,"Tsukasa Kazuki's kind older sister. Her and Tsukasa are both very attractive, becoming a pair of siblings that are ""blindingly beautiful.""    (Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/8/492065.jpg,https://cdn.myanimelist.net/images/characters/8/492065.webp,https://cdn.myanimelist.net/images/characters/8/492065t.webp
219518,https://myanimelist.net/character/219518/Yukana_Kishi,Yukana Kishi,岸 優花菜,,7,Creepy lady who follows Kazuki around.,https://cdn.myanimelist.net/images/characters/3/492067.jpg,https://cdn.myanimelist.net/images/characters/3/492067.webp,https://cdn.myanimelist.net/images/characters/3/492067t.webp
219519,https://myanimelist.net/character/219519/Riporin,Riporin,りぽりん,,0,,https://cdn.myanimelist.net/images/characters/3/493347.jpg,https://cdn.myanimelist.net/images/characters/3/493347.webp,https://cdn.myanimelist.net/images/characters/3/493347t.webp
219520,https://myanimelist.net/character/219520/Amin,Amin,あみん,,0,,https://cdn.myanimelist.net/images/characters/9/492628.jpg,https://cdn.myanimelist.net/images/characters/9/492628.webp,https://cdn.myanimelist.net/images/characters/9/492628t.webp
219521,https://myanimelist.net/character/219521/Kattsun,Kattsun,カッツン,,0,,https://cdn.myanimelist.net/images/characters/7/517986.jpg,https://cdn.myanimelist.net/images/characters/7/517986.webp,https://cdn.myanimelist.net/images/characters/7/517986t.webp
219522,https://myanimelist.net/character/219522/Souta,Souta,ソータ,,0,,https://cdn.myanimelist.net/images/characters/12/550713.jpg,https://cdn.myanimelist.net/images/characters/12/550713.webp,https://cdn.myanimelist.net/images/characters/12/550713t.webp
