manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,real_start_date,real_end_date,genres,themes,demographics
103991,Futouhen Sankakkei no Teiri,one_shot,6.26,409,finished,,1,2016-10-01,2016-10-01,786,0,False,True,2016-10-01,2016-10-01,"['Boys Love', 'Erotica']",[],[]
91699,Hatsujou,manga,6.66,221,finished,1,6,2013-03-30,2014-03-29,682,1,False,True,2013-03-30,2014-03-29,"['Boys Love', 'Erotica', 'Supernatural']",['School'],[]
87037,Ai no Sanka,one_shot,6.32,388,finished,,1,2012-05-01,2012-05-01,661,2,True,True,2012-05-01,2012-05-01,['Romance'],['Historical'],['Shoujo']
109387,Ookami-san to Eroi Koto,manga,6.38,363,finished,1,6,2015-06-01,2016-09-01,777,5,False,True,2015-06-01,2016-09-01,"['Boys Love', 'Erotica', 'Supernatural']",[],[]
104048,Omujo!,manga,6.07,458,finished,2,28,2016-12-11,2019-02-22,1307,7,True,True,2016-12-11,2019-02-22,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']",['School'],[]
52329,Abgrund,doujinshi,6.55,277,finished,1,,2012-08-12,2012-08-12,640,4,False,True,2012-08-12,2012-08-12,"['Boys Love', 'Erotica', 'Hentai']",['Crossdressing'],[]
127684,"Afurete Koborete, Gaman Dekinai",manga,6.55,277,finished,1,7,2018-04-24,2019-02-24,587,3,False,True,2018-04-24,2019-02-24,"['Boys Love', 'Erotica']",[],[]
4304,Extra Heavy Syrup,manga,6.55,277,finished,1,3,2003-01-01,,547,0,True,True,2003,,"['Comedy', 'Romance']",[],['Josei']
11437,"Shinyaku ""Kyojin no Hoshi"": Hanagata",manga,6.95,113,finished,22,192,2006-08-09,2010-12-22,448,3,True,True,2006-08-09,2010-12-22,"['Action', 'Comedy', 'Sports']",['School'],['Shounen']
31313,Fizon Core,one_shot,6.43,338,finished,,1,2011-01-01,2011-01-01,655,0,True,True,2011,2011,"['Action', 'Supernatural']",[],['Shoujo']
115518,Orc ga Okashite Kurenai!,manga,5.44,511,finished,2,35,2017-11-14,2018-07-03,2458,6,True,True,2017-11-14,2018-07-03,"['Comedy', 'Ecchi', 'Fantasy']",[],[]
105624,Territory M no Juunin,manga,6.97,108,finished,11,45,2017-01-13,2020-07-13,702,2,True,True,2017-01-13,2020-07-13,['Romance'],[],['Shoujo']
856,Jigoro!,manga,6.28,402,finished,1,9,1994-01-01,1994-01-01,1173,1,True,True,1994,1994,[],['Martial Arts'],['Seinen']
4595,Kimagure Love Cupid,manga,6.5600000000000005,271,finished,1,6,2004-09-01,2004-09-01,545,0,False,True,2004-09,2004-09,"['Boys Love', 'Erotica']",[],[]
52523,Believe Machine Gaiden,one_shot,6.71,197,finished,,1,2013-04-05,2013-04-05,438,4,False,True,2013-04-05,2013-04-05,['Hentai'],[],[]
2426,The Ring 4: Birthday,manga,6.78,167,finished,1,4,,,546,1,True,True,,,"['Drama', 'Horror']",['Psychological'],[]
73747,Nandaka Ii Nioi,manga,6.78,167,finished,1,5,2012-08-09,2012-08-09,403,1,False,True,2012-08-09,2012-08-09,"['Boys Love', 'Erotica', 'Romance']",[],[]
144492,Chotto Damatte,manga,6.78,167,finished,1,5,2017-06-09,2017-12-09,335,0,False,True,2017-06-09,2017-12-09,"['Boys Love', 'Erotica', 'Supernatural']",['School'],[]
2534,Ice Kiss,manhwa,6.88,132,finished,6,,2006-01-01,,526,1,True,True,2006,,"['Comedy', 'Romance', 'Supernatural']",['School'],['Shoujo']
78349,Domino Kick: Naraberareta Domino wo Kick shitara Dou Naru no kashira?,manga,6.79,163,finished,2,42,2014-07-03,2015-02-26,554,0,True,True,2014-07-03,2015-02-26,['Comedy'],['School'],[]
22633,Koi wo Suru made Kaesanai,manga,6.79,163,finished,2,10,2009-04-08,2010-05-08,501,2,True,True,2009-04-08,2010-05-08,['Romance'],[],['Shoujo']
142742,Comyushou Ryman wa Koi no Shikata ga Wakarimasen,manga,6.79,163,finished,1,6,2019-01-30,2020-04-30,341,0,False,True,2019-01-30,2020-04-30,"['Boys Love', 'Erotica']",[],[]
20313,Ai no Mahou wo Oshiete!,manga,6.7,202,finished,1,8,2003-09-06,2006-01-18,522,1,False,True,2003-09-06,2006-01-18,['Hentai'],[],[]
143706,"Itadakimasu, Ookami-san.",manga,6.87,135,finished,1,6,2020-02-22,2020-12-22,298,0,False,True,2020-02-22,2020-12-22,"['Boys Love', 'Erotica', 'Fantasy']",[],[]
106956,Yuusha no Mago to Maou no Musume,manga,6.47,318,finished,5,32,2017-05-01,2021-05-21,1636,2,True,True,2017-05-01,2021-05-21,"['Action', 'Adventure', 'Fantasy']",[],[]
100025,Otometic Syndrome,manga,6.68,211,currently_publishing,,,2015-06-14,,1091,2,True,True,2015-06-14,,"['Comedy', 'Romance', 'Slice of Life']",[],[]
132750,Game Center Shoujo to Ibunka Kouryuu,manga,6.9,126,currently_publishing,,,2019-02-22,,549,2,True,True,2019-02-22,,"['Comedy', 'Slice of Life']",['Romantic Subtext'],[]
102773,Bokura no Sex,manga,6.9,126,finished,1,7,2012-09-05,2016-01-05,494,3,False,True,2012-09-05,2016-01-05,['Hentai'],[],[]
